"ID","gender","sped","frlunch","esol","black","white","hispanic","asian","age","pretest","posttest"
23450567,1,0,0,0,0,0,1,0,12.87885,232,230
23451644,1,0,0,0,0,0,1,0,14.324435,217,217
23450461,0,0,0,0,0,1,0,0,13.557837,220,214
23452197,1,0,1,0,1,0,0,0,12.25462,208,229
23451814,1,0,0,1,0,0,1,0,11.945243,215,213
23450246,1,0,1,1,0,0,1,0,11.835729,200,230
23450311,1,0,1,1,0,0,1,0,13.040383,207,233
23451431,0,0,0,0,0,1,0,0,12.235455,236,234
23450143,0,0,0,0,0,0,0,1,12.709103,263,272
23451170,1,0,1,0,0,1,0,0,13.13347,223,233
23451469,0,NA,1,NA,0,1,0,0,11.950719,223,227
23452091,0,0,1,0,1,0,0,0,12.810404,194,203
23450611,1,0,1,1,0,0,1,0,12.70089,182,208
23451136,1,0,0,0,0,1,0,0,12.457221,218,229
23450021,1,0,0,0,0,1,0,0,12.99384,219,230
23450940,0,0,1,0,1,0,0,0,12.758385,224,231
23452245,0,0,0,0,1,0,0,0,12.125941,229,236
23452082,NA,0,1,0,NA,NA,NA,NA,NA,207,213
23451966,0,0,1,0,1,0,0,0,12.640657,213,225
23450336,1,1,0,0,0,1,0,0,12.563997,213,231
23452408,1,0,1,0,0,0,0,1,12.03833,174,185
23452414,1,0,1,0,0,0,1,0,11.931554,209,234
23451973,NA,0,1,0,NA,NA,NA,NA,NA,224,234
23450717,1,0,1,0,1,0,0,0,12.785763,220,209
23451291,1,0,1,0,1,0,0,0,12.145106,209,226
23451091,0,0,1,0,0,1,0,0,14.507871,205,209
23450808,0,0,1,0,1,0,0,0,12.539357,237,247
23450139,0,0,0,0,0,1,0,0,12.99384,267,270
23451263,0,0,1,0,0,0,0,1,12.268309,224,214
23450602,0,0,1,1,0,1,0,0,12.525667,226,236
23451374,0,0,1,0,0,0,1,0,12.213552,207,224
23452258,0,0,1,0,0,0,0,1,12.079398,240,246
23451560,0,0,1,1,0,0,1,0,12.07666,191,211
23451396,0,0,1,0,0,1,0,0,13.062286,227,231
23451842,1,0,0,0,0,1,0,0,12.591376,215,226
23450658,1,0,0,0,1,0,0,0,12.985626,223,227
23450683,1,0,0,0,0,1,0,0,12.517454,217,223
23450323,1,0,1,1,0,0,1,0,13.393566,211,222
23451388,0,0,1,1,0,0,1,0,11.893224,206,212
23451344,1,NA,0,NA,0,1,0,0,12.386037,226,233
23451004,1,0,1,0,1,0,0,0,12.235455,198,216
23450928,0,0,0,0,0,1,0,0,12.065708,219,221
23450553,1,1,0,0,0,1,0,0,12.468172,205,209
23450860,1,0,1,0,1,0,0,0,11.854894,205,226
23450241,0,0,1,1,0,0,1,0,12.068446,190,213
23452690,1,0,0,0,0,1,0,0,13.278576,217,223
23450838,0,0,0,1,0,0,1,0,12.950034,212,210
23450937,1,1,1,0,0,1,0,0,13.251198,213,232
23452509,0,0,0,0,0,1,0,0,12.651608,221,212
23452753,0,0,1,0,1,0,0,0,12.731006,231,213
23451483,0,0,1,1,0,0,1,0,12.309377,201,207
23450726,1,0,1,1,0,0,1,0,12.84052,209,220
23452402,0,0,1,0,0,0,1,0,12.013689,227,231
23450120,0,0,0,0,0,1,0,0,12.766598,249,253
23450755,0,0,1,0,1,0,0,0,12.095825,211,225
23451001,0,0,0,0,1,0,0,0,12.208077,211,238
23450074,1,0,1,0,0,0,1,0,12.350445,239,250
23451710,0,0,0,0,1,0,0,0,12.966461,208,214
23451795,1,0,1,0,1,0,0,0,14.3436,195,210
23451432,0,NA,0,0,0,0,1,0,12.427105,240,227
23450705,0,0,1,0,0,0,1,0,13.675565,193,211
23450915,0,0,1,0,1,0,0,0,12.969199,216,208
23450306,1,0,0,0,0,1,0,0,12.462697,238,234
23452536,0,0,1,1,0,0,1,0,12.375086,228,226
23452240,0,0,0,0,0,1,0,0,12.106776,235,241
23451356,1,1,1,1,0,0,1,0,13.344285,193,202
23450238,1,0,0,0,0,1,0,0,12.339493,220,226
23451084,1,0,1,0,0,1,0,0,13.746749,210,214
23451468,0,NA,1,0,0,0,1,0,11.865845,223,220
23451772,1,0,0,0,0,0,1,0,11.813826,204,203
23450545,0,0,1,0,1,0,0,0,12.435318,216,220
23450223,0,0,1,1,0,0,1,0,12.969199,212,225
23451846,1,0,1,1,0,0,1,0,11.728953,237,250
23452062,0,0,0,0,0,1,0,0,12.621492,232,233
23451234,0,0,1,0,1,0,0,0,11.958932,209,231
